Hour,Month,Day,Hour of Day,Generation (kWh)
480,1,20,23,0.000
481,1,21,0,0.000
482,1,21,1,0.000
483,1,21,2,0.000
484,1,21,3,0.000
485,1,21,4,0.000
486,1,21,5,0.000
487,1,21,6,0.000
488,1,21,7,0.000
489,1,21,8,0.000
490,1,21,9,12.212
491,1,21,10,10.688
492,1,21,11,12.211
493,1,21,12,8.581
494,1,21,13,7.194
495,1,21,14,8.011
496,1,21,15,2.331
497,1,21,16,0.000
498,1,21,17,0.000
499,1,21,18,0.000
500,1,21,19,0.000
501,1,21,20,0.000
502,1,21,21,0.000
503,1,21,22,0.000
504,1,21,23,0.000
505,1,22,0,0.000
506,1,22,1,0.000
507,1,22,2,0.000
508,1,22,3,0.000
509,1,22,4,0.000
510,1,22,5,0.000
511,1,22,6,0.000
512,1,22,7,0.000
513,1,22,8,0.000
514,1,22,9,7.023
515,1,22,10,6.568
516,1,22,11,14.544
517,1,22,12,6.692
518,1,22,13,7.390
519,1,22,14,5.743
520,1,22,15,8.188
521,1,22,16,0.000
522,1,22,17,0.000
523,1,22,18,0.000
524,1,22,19,0.000
525,1,22,20,0.000
526,1,22,21,0.000
527,1,22,22,0.000
528,1,22,23,0.000
529,1,23,0,0.000
530,1,23,1,0.000
531,1,23,2,0.000
532,1,23,3,0.000
533,1,23,4,0.000
534,1,23,5,0.000
535,1,23,6,0.000
536,1,23,7,0.000
537,1,23,8,0.000
538,1,23,9,7.405
539,1,23,10,6.007
540,1,23,11,7.212
541,1,23,12,17.077
542,1,23,13,16.697
543,1,23,14,13.078
544,1,23,15,8.176
545,1,23,16,0.000
546,1,23,17,0.000
547,1,23,18,0.000
548,1,23,19,0.000
549,1,23,20,0.000
550,1,23,21,0.000
551,1,23,22,0.000
552,1,23,23,0.000
553,1,24,0,0.000
554,1,24,1,0.000
555,1,24,2,0.000
556,1,24,3,0.000
557,1,24,4,0.000
558,1,24,5,0.000
559,1,24,6,0.000
560,1,24,7,0.000
561,1,24,8,0.000
562,1,24,9,3.717
563,1,24,10,22.905
564,1,24,11,17.481
565,1,24,12,13.666
566,1,24,13,22.234
567,1,24,14,17.449
568,1,24,15,19.740
569,1,24,16,0.000
570,1,24,17,0.000
571,1,24,18,0.000
572,1,24,19,0.000
573,1,24,20,0.000
574,1,24,21,0.000
575,1,24,22,0.000
576,1,24,23,0.000
577,1,25,0,0.000
578,1,25,1,0.000
579,1,25,2,0.000
580,1,25,3,0.000
581,1,25,4,0.000
582,1,25,5,0.000
583,1,25,6,0.000
584,1,25,7,0.000
585,1,25,8,0.000
586,1,25,9,16.661
587,1,25,10,18.411
588,1,25,11,46.333
589,1,25,12,33.161
590,1,25,13,33.930
591,1,25,14,25.816
592,1,25,15,17.010
593,1,25,16,0.000
594,1,25,17,0.000
595,1,25,18,0.000
596,1,25,19,0.000
597,1,25,20,0.000
598,1,25,21,0.000
599,1,25,22,0.000
600,1,25,23,0.000
601,1,26,0,0.000
602,1,26,1,0.000
603,1,26,2,0.000
604,1,26,3,0.000
605,1,26,4,0.000
606,1,26,5,0.000
607,1,26,6,0.000
608,1,26,7,0.000
609,1,26,8,0.000
610,1,26,9,4.488
611,1,26,10,32.527
612,1,26,11,26.519
613,1,26,12,31.566
614,1,26,13,29.764
615,1,26,14,24.844
616,1,26,15,15.010
617,1,26,16,0.280
618,1,26,17,0.000
619,1,26,18,0.000
620,1,26,19,0.000
621,1,26,20,0.000
622,1,26,21,0.000
623,1,26,22,0.000
624,1,26,23,0.000
625,1,27,0,0.000
626,1,27,1,0.000
627,1,27,2,0.000
628,1,27,3,0.000
629,1,27,4,0.000
630,1,27,5,0.000
631,1,27,6,0.000
632,1,27,7,0.000
633,1,27,8,0.000
634,1,27,9,15.558
635,1,27,10,24.876
636,1,27,11,23.314
637,1,27,12,10.470
638,1,27,13,18.557
639,1,27,14,22.754
640,1,27,15,11.630
641,1,27,16,0.097
642,1,27,17,0.000
643,1,27,18,0.000
644,1,27,19,0.000
645,1,27,20,0.000
646,1,27,21,0.000
647,1,27,22,0.000
648,1,27,23,0.000
649,1,28,0,0.000
650,1,28,1,0.000
651,1,28,2,0.000
652,1,28,3,0.000
653,1,28,4,0.000
654,1,28,5,0.000
655,1,28,6,0.000
656,1,28,7,0.000
657,1,28,8,0.000
658,1,28,9,13.310
659,1,28,10,16.341
660,1,28,11,25.414
661,1,28,12,33.488
662,1,28,13,25.851
663,1,28,14,27.483
664,1,28,15,16.408
665,1,28,16,1.055
666,1,28,17,0.000
667,1,28,18,0.000
668,1,28,19,0.000
669,1,28,20,0.000
670,1,28,21,0.000
671,1,28,22,0.000
672,1,28,23,0.000
673,1,29,0,0.000
674,1,29,1,0.000
675,1,29,2,0.000
676,1,29,3,0.000
677,1,29,4,0.000
678,1,29,5,0.000
679,1,29,6,0.000
680,1,29,7,0.000
681,1,29,8,0.000
682,1,29,9,12.096
683,1,29,10,7.398
684,1,29,11,15.462
685,1,29,12,17.826
686,1,29,13,13.842
687,1,29,14,11.701
688,1,29,15,15.463
689,1,29,16,0.294
690,1,29,17,0.000
691,1,29,18,0.000
692,1,29,19,0.000
693,1,29,20,0.000
694,1,29,21,0.000
695,1,29,22,0.000
696,1,29,23,0.000
697,1,30,0,0.000
698,1,30,1,0.000
699,1,30,2,0.000
700,1,30,3,0.000
701,1,30,4,0.000
702,1,30,5,0.000
703,1,30,6,0.000
704,1,30,7,0.000
705,1,30,8,0.000
706,1,30,9,16.423
707,1,30,10,18.653
708,1,30,11,35.402
709,1,30,12,41.166
710,1,30,13,33.872
711,1,30,14,14.644
712,1,30,15,7.472
713,1,30,16,1.437
714,1,30,17,0.000
715,1,30,18,0.000
716,1,30,19,0.000
717,1,30,20,0.000
718,1,30,21,0.000
719,1,30,22,0.000
720,1,30,23,0.000
721,1,31,0,0.000
722,1,31,1,0.000
723,1,31,2,0.000
724,1,31,3,0.000
725,1,31,4,0.000
726,1,31,5,0.000
727,1,31,6,0.000
728,1,31,7,0.000
729,1,31,8,0.000
730,1,31,9,16.669
731,1,31,10,18.228
732,1,31,11,28.673
733,1,31,12,19.887
734,1,31,13,20.023
735,1,31,14,18.580
736,1,31,15,23.119
737,1,31,16,1.905
738,1,31,17,0.000
739,1,31,18,0.000
740,1,31,19,0.000
741,1,31,20,0.000
742,1,31,21,0.000
743,1,31,22,0.000
744,1,31,23,0.000
745,2,1,0,0.000
746,2,1,1,0.000
747,2,1,2,0.000
748,2,1,3,0.000
749,2,1,4,0.000
750,2,1,5,0.000
751,2,1,6,0.000
752,2,1,7,0.000
753,2,1,8,0.000
754,2,1,9,11.900
755,2,1,10,16.875
756,2,1,11,43.622
757,2,1,12,28.656
758,2,1,13,51.093
759,2,1,14,43.984
760,2,1,15,26.648
761,2,1,16,3.220
762,2,1,17,0.000
763,2,1,18,0.000
764,2,1,19,0.000
765,2,1,20,0.000
766,2,1,21,0.000
767,2,1,22,0.000
768,2,1,23,0.000
769,2,2,0,0.000
770,2,2,1,0.000
771,2,2,2,0.000
772,2,2,3,0.000
773,2,2,4,0.000
774,2,2,5,0.000
775,2,2,6,0.000
776,2,2,7,0.000
777,2,2,8,0.000
778,2,2,9,26.051
779,2,2,10,35.836
780,2,2,11,38.189
781,2,2,12,45.557
782,2,2,13,51.766
783,2,2,14,40.441
784,2,2,15,32.717
785,2,2,16,2.492
786,2,2,17,0.000
787,2,2,18,0.000
788,2,2,19,0.000
789,2,2,20,0.000
790,2,2,21,0.000
791,2,2,22,0.000
792,2,2,23,0.000
793,2,3,0,0.000
794,2,3,1,0.000
795,2,3,2,0.000
796,2,3,3,0.000
797,2,3,4,0.000
798,2,3,5,0.000
799,2,3,6,0.000
800,2,3,7,0.000
801,2,3,8,0.000
802,2,3,9,11.154
803,2,3,10,26.346
804,2,3,11,44.788
805,2,3,12,48.587
806,2,3,13,41.311
807,2,3,14,26.077
808,2,3,15,14.042
809,2,3,16,4.650
810,2,3,17,0.000
811,2,3,18,0.000
812,2,3,19,0.000
813,2,3,20,0.000
814,2,3,21,0.000
815,2,3,22,0.000
816,2,3,23,0.000
817,2,4,0,0.000
818,2,4,1,0.000
819,2,4,2,0.000
820,2,4,3,0.000
821,2,4,4,0.000
822,2,4,5,0.000
823,2,4,6,0.000
824,2,4,7,0.000
825,2,4,8,0.000
826,2,4,9,27.922
827,2,4,10,49.980
828,2,4,11,82.050
829,2,4,12,48.753
830,2,4,13,54.877
831,2,4,14,34.530
832,2,4,15,21.204
833,2,4,16,7.223
834,2,4,17,0.000
